Answerer_ID,Sum_Answerer_Score
"9177877","149"
"3620003","149"
"12133434","148"
"3066077","148"
"12867211","148"
"147356","146"
"2243104","146"
"13014172","145"
"2106934","145"
"9901261","145"
"14909980","145"
"7631480","145"
"6366770","144"
"7429447","144"
"683329","143"
"10794031","143"
"17120692","142"
"570918","141"
"6083423","140"
"4745529","138"
"13386979","138"
"13573168","137"
"941531","137"
"3000206","136"
"9284423","136"
"5120049","136"
"1600898","135"
"14278448","135"
"2422776","135"
"541038","134"
"6006383","133"
"108205","133"
"4685471","132"
"11372593","132"
"480982","130"
"9098350","129"
"7108653","129"
"11659881","129"
"10908375","128"
"5296106","127"
"10020283","126"
"1440565","126"
"15035314","124"
"18627","124"
"14449816","124"
"13525512","124"
"10495893","124"
"13580122","123"
"3890632","123"
"7216865","123"
"12848411","123"
"3279716","123"
"12728244","123"
"16555279","121"
"298607","121"
"1058671","119"
"438386","119"
"550094","119"
"14460824","118"
"355715","118"
"10720723","118"
"1714410","117"
"7370153","117"
"4985099","117"
"7388477","117"
"9081267","116"
"2745495","116"
"14784912","116"
"100297","115"
"7941251","115"
"13577063","115"
"13802115","115"
"381179","114"
"3767239","114"
"15914159","114"
"130288","114"
"11989081","113"
"4727702","113"
"4132144","112"
"6646912","112"
"13037676","111"
"137650","111"
"4492932","111"
"523612","110"
"1431750","110"
"7865368","110"
"6273251","110"
"1639625","110"
"9450991","109"
"8451814","109"
"3228591","109"
"8635547","108"
"15873043","108"
"532312","108"
"812183","108"
"11897007","107"
"12750353","107"
"14311263","107"
"4985733","107"
"2538939","106"
"11923558","105"
"14860","105"
"12952263","105"
"5666087","104"
"6457407","103"
"13590089","103"
"14722562","103"
"5359797","103"
"16936415","102"
"6671176","102"
"7608589","102"
"15604484","102"
"424499","101"
"11603043","100"
"8283848","100"
"9388625","100"
"5404226","100"
"11583070","99"
"218663","99"
"5994041","98"
"2144390","98"
"1288","97"
"5460719","97"
"7505395","97"
"9448090","97"
"8222791","96"
"9551405","95"
"14624409","95"
"8890604","94"
"1231450","94"
"14904573","94"
"8881141","94"
"11647025","93"
"11246056","93"
"14030287","93"
"12602208","92"
"15513073","92"
"12480730","91"
"14637","91"
"8601760","91"
"4574633","91"
"2166823","91"
"4996248","91"
"4806357","91"
"240443","91"
"13182885","90"
"10885684","90"
"10900548","90"
"3080723","90"
"7658985","90"
"8472976","90"
"1217358","90"
"3365809","90"
"1324033","90"
"770830","89"
"7871685","89"
"16452840","89"
"8479387","89"
"68587","88"
"13337635","88"
"14720380","87"
"13726668","87"
"3279603","87"
"11936229","87"
"13739174","86"
"15993687","86"
"5032941","86"
"2602877","86"
"2129801","85"
"6817835","85"
"9513184","85"
"15347805","85"
"174777","85"
"13340143","85"
"9014097","84"
"9795817","83"
"850848","83"
"2423278","83"
"2084384","83"
"1212401","82"
"6143954","82"
"3220135","82"
"913098","81"
"14551426","81"
"7831421","81"
"9192284","80"
"10760768","80"
"5929910","80"
"2144669","80"
"9835872","79"
"271641","79"
"10375049","78"
"16757174","78"
"10606962","78"
"5003756","78"
"5771269","78"
"984421","78"
"14923227","78"
"10739252","77"
"13131320","77"
"573255","77"
"1030002","77"
"2586926","77"
"494134","77"
"2640045","77"
"14877544","76"
"9758194","76"
"142637","75"
"3526116","75"
"4565947","73"
"14058726","73"
"15213553","73"
"1453508","73"
"10409093","73"
"12198502","73"
"3700626","73"
"12420884","73"
"461847","72"
"10798917","72"
"15256253","72"
"10462884","72"
"4145941","72"
"4177009","71"
"13145954","71"
"5386938","71"
"10498828","71"
"3487414","71"
"14989571","71"
"11161432","71"
"15282257","71"
"7035448","70"
"13568999","70"
"12883318","70"
"1841839","70"
"7954504","70"
"15744300","70"
"14838540","70"
"3705840","70"
"9379390","70"
"2074831","70"
"16462878","69"
"982257","69"
"4734846","69"
"8534196","69"
"6573902","69"
"208880","69"
"2741091","69"
"8917426","69"
"14277722","68"
"9108912","68"
"3888719","68"
"14088251","68"
"4871001","68"
"8620128","68"
"1426065","68"
"1533576","68"
"2378643","67"
"5013752","67"
"12998205","67"
"15844296","67"
"4975981","67"
"3081018","67"
"9769953","67"
"14122","66"
"7519434","66"
"7579547","66"
"202694","66"
"8163071","66"
"5378816","66"
"4583620","65"
"13273054","65"
"6333444","65"
"4439019","65"
"14867730","64"
"8593689","64"
"14185009","64"
"11528509","64"
"4968191","64"
"13223456","64"
"13939333","64"
"15306606","64"
"6243352","64"
"16009704","64"
"8182118","64"
"2455169","63"
"8893827","63"
"11610186","63"
"3749896","63"
"2111778","62"
"12451222","62"
"12479639","62"
"1287884","62"
"12370687","62"
"543969","62"
"5086255","62"
"15862569","61"
